MainSceneStagesModulesStateIndex,SeastarID,Assigned
1,Seastar_1,1
1,Seastar_2,1
3,Seastar_1,1
3,Seastar_2,1
3,Seastar_3,1
4,Seastar_1,1
4,Seastar_2,1
4,Seastar_3,1
4,Seastar_4,1
4,Seastar_5,1
4,Seastar_6,1
4,Seastar_7,1
4,Seastar_8,1
4,Seastar_9,1
5,Seastar_1,1
5,Seastar_2,1
5,Seastar_3,1
5,Seastar_4,1
5,Seastar_5,1
5,Seastar_6,1
5,Seastar_7,1
5,Seastar_8,1
5,Seastar_9,1
5,Seastar_10,1
5,Seastar_11,1
5,Seastar_12,1
6,Seastar_1,1
6,Seastar_2,1
6,Seastar_3,1
7,Seastar_1,1
7,Seastar_2,1
7,Seastar_3,1
7,Seastar_4,1
7,Seastar_5,1
7,Seastar_6,1
7,Seastar_7,1
8,Seastar_1,1
8,Seastar_2,1
8,Seastar_3,1
9,Seastar_1,1
9,Seastar_2,1
9,Seastar_3,1
9,Seastar_4,1
9,Seastar_5,1
9,Seastar_6,1
9,Seastar_7,1
10,Seastar_1,1
10,Seastar_2,1
10,Seastar_3,1
10,Seastar_4,1
10,Seastar_5,1
10,Seastar_6,1
10,Seastar_7,1
10,Seastar_8,1
12,Seastar_1,1
12,Seastar_2,1
12,Seastar_3,1
12,Seastar_4,1
12,Seastar_5,1
12,Seastar_6,1
12,Seastar_7,1
12,Seastar_8,1
12,Seastar_9,1
13,Seastar_1,1
13,Seastar_2,1
13,Seastar_3,1
13,Seastar_4,1
13,Seastar_5,1
14,Seastar_1,1
14,Seastar_2,1
14,Seastar_3,1
14,Seastar_4,1
14,Seastar_5,1
14,Seastar_6,1
14,Seastar_7,1
15,Seastar_1,1
15,Seastar_2,1
15,Seastar_3,1
15,Seastar_4,1
15,Seastar_5,1
15,Seastar_6,1
15,Seastar_7,1
15,Seastar_8,1
15,Seastar_9,1
15,Seastar_10,1
15,Seastar_11,1
15,Seastar_12,1
15,Seastar_13,1
15,Seastar_14,1
15,Seastar_15,1
15,Seastar_16,1
15,Seastar_17,1
15,Seastar_18,1
15,Seastar_19,1
17,Seastar_1,1
17,Seastar_2,1
17,Seastar_3,1
17,Seastar_4,1
17,Seastar_5,1
17,Seastar_6,1
17,Seastar_7,1
